time_created,model_type,model_id,model_path,dataset,layer_depth,hidden_layer_1,hidden_layer_2,hidden_layer_3,hidden_layer_4,hidden_layer_5,hidden_layer_6,hidden_layer_7,hidden_layer_8,hidden_layer_9,training_time,loss,iterations,mse,rmse,mae,mae_percentage,max_error,r2
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_20_x7_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_20/MLPRegressor_20_x7_ds1/model.pkl,ds1,7,20,20,20,20,20,20,20,0,0,108.306,0.0006672738072878,1482,0.0007871336003849,0.028055901346863,0.020734845513152,1607.11207266983,17977.004971408973,0.9731229186752623
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_200_x1_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_200/MLPRegressor_200_x1_ds1/model.pkl,ds1,1,200,0,0,0,0,0,0,0,0,182.465,0.0006606436551548,2451,0.0007575118600349,0.0275229333472092,0.0195793906707457,1538.2398417626034,18347.37586445263,0.9741343682233156
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_200_x1_ds1fe1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_200/MLPRegressor_200_x1_ds1fe1/model.pkl,ds1fe1,1,200,0,0,0,0,0,0,0,0,64.318,5.0181923193296745e-05,971,4.2938538938250806e-05,0.0065527504864942,0.0046388618551259,372.0698124486702,3419.3562925560304,0.9985338415201124
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_200_x2_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_200/MLPRegressor_200_x2_ds1/model.pkl,ds1,2,200,200,0,0,0,0,0,0,0,592.868,0.0007328238885149,2277,0.0008038572593344,0.0283523766082218,0.0204728953816785,1601.4015192761883,17436.184837539902,0.97255188074547
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_200_x2_ds1fe1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_200/MLPRegressor_200_x2_ds1fe1/model.pkl,ds1fe1,2,200,200,0,0,0,0,0,0,0,184.323,7.434566051952424e-05,746,5.946294595221072e-05,0.0077112220790358,0.0055197751451582,441.3195333954507,4317.811467661181,0.9979696071500638
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_200_x3_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_200/MLPRegressor_200_x3_ds1/model.pkl,ds1,3,200,200,200,0,0,0,0,0,0,906.993,0.0007194435592152,1720,0.000703485031215,0.0265232922393711,0.0189411666404131,1477.9940363836226,17730.142346738354,0.9759791420599278
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_200_x3_ds1fe1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_200/MLPRegressor_200_x3_ds1fe1/model.pkl,ds1fe1,3,200,200,200,0,0,0,0,0,0,291.046,0.000111050686655,657,6.0786212711974015e-05,0.0077965513345308,0.0054666438261818,438.4584498914171,4870.853470088665,0.9979244235264716
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_200_x4_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_200/MLPRegressor_200_x4_ds1/model.pkl,ds1,4,200,200,200,200,0,0,0,0,0,970.102,0.0006773706697946,1482,0.000639102300577,0.0252804727126905,0.0177271439116741,1391.7589823551994,17823.38707541031,0.9781775234864352
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_200_x4_ds1fe1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_200/MLPRegressor_200_x4_ds1fe1/model.pkl,ds1fe1,4,200,200,200,200,0,0,0,0,0,409.512,0.0001527841969655,742,5.695934377662706e-05,0.0075471414308085,0.0052603411173372,424.2685420427211,5521.480097713205,0.9980550939330508
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_200_x5_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_200/MLPRegressor_200_x5_ds1/model.pkl,ds1,5,200,200,200,200,200,0,0,0,0,1589.262,0.0005905101759404,2073,0.0004997686987472,0.0223555071234647,0.0166402797773992,1293.9615758304749,12051.941847256245,0.9829351409300522
